# id: B14
# title: Bài 14

里 | lǐ | trong; bên trong
外 | wài | ngoài; bên ngoài
经理 | jīnglǐ | giám đốc; người quản lý
老板 | lǎobǎn | ông chủ; chủ cửa hàng
马马虎虎 | mǎmǎhūhū | tàm tạm; qua loa
最 | zuì | nhất
最近 | zuìjìn | gần đây; gần nhất
刚 | gāng | vừa; vừa mới
开 | kāi | mở; bật; lái
开心 | kāixīn | vui; vui vẻ
还是 | háishi | hay là; vẫn
可乐 | kělè | nước ngọt cola
奶 | nǎi | sữa
牛奶 | niúnǎi | sữa bò
奶茶 | nǎichá | trà sữa
咖啡 | kāfēi | cà phê
啤酒 | píjiǔ | bia
饮料 | yǐnliào | đồ uống; nước giải khát
杯 | bēi | cốc; ly; lượng từ cho đồ uống
辆 | liàng | chiếc (lượng từ cho xe)
火车 | huǒchē | tàu hỏa
汽车 | qìchē | ô tô; xe hơi
开车 | kāichē | lái xe
