# id: B16
# title: Bài 16

洗澡 | xǐzǎo | Tắm
换衣服 | huàn yīfu | Thay quần áo
睡觉 | shuìjiào | Đi ngủ
刷牙 | shuāyá | Đánh răng
生词 | shēngcí | Từ mới
查 | chá | Tra, tìm
音乐 | yīnyuè | Âm nhạc
借 | jiè | Mượn
还 | huán | Trả
上网 | shàngwǎng | Lên mạng
上课 | shàngkè | Vào lớp
上楼 | shànglóu | Lên tầng/lầu
聊天 | liáotiān | Nói chuyện, chat
很少 | hěn shǎo | Rất hiếm, ít khi
有时候 | yǒushíhou | Có lúc, thỉnh thoảng
常 | cháng | Thường xuyên
总是 | zǒngshì | Luôn, luôn luôn
已经 | yǐjīng | Đã
在 | zài | Đang
会 | huì | Sẽ
休息 | xiūxi | Nghỉ ngơi
臭 | chòu | Thối
宿舍 | sùshè | Ký túc xá
舌 | shé | Lưỡi
电影 | diànyǐng | Phim
京 | jīng | Kinh thành
现在 | xiànzài | Bây giờ, hiện tại
过 | guò | Qua
过去 | guòqù | Quá khứ
跟 | gēn | Với, cùng
时候 | shíhou | ...khi, ...lúc
什么时候 | shénme shíhou | Khi nào?
的时候 | de shíhou | Lúc ..., khi ...
尝 | cháng | Nếm
一起 | yìqǐ | Cùng nhau, together
