# id: B18
# title: Bài 18

包裹 | bāoguǒ | Bưu phẩm
包包 | bāobāo | Túi xách
拿 | ná | Cầm, lấy
快递 | kuàidì | Hàng chuyển phát, hàng ship
顺便 | shùnbiàn | Nhân tiện
方便 | fāngbiàn | Thuận tiện, tiện lợi
帮 | bāng | Giúp, giúp đỡ
替 | tì | Thay, giúp, hộ
邮票 | yóupiào | Tem, phiếu
报纸 | bàozhǐ | Báo giấy
份 | fèn | Lượng từ: phần, suất; số, bản
年 | nián | Năm
青年 | qīngnián | Thanh niên
用 | yòng | Dùng, cần
旅行 | lǚxíng | Du lịch
代表 | dàibiǎo | Đại biểu, thay mặt
手表 | shǒubiǎo | Đồng hồ đeo tay
团 | tuán | Lượng từ: đoàn
参观 | cānguān | Tham quan
翻译 | fānyì | Phiên dịch
